batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
CWS,2024-06-20,5,0,18,83.9,line_drive,0.9715937083170054,0.6,halfway,7.221593708317005,6.25,28.8,84.7,Andrew Vaughn singles on a line drive to center fielder Jake Meyers. Tommy Pham scores. Luis Robert Jr. to 3rd.
BAL,2024-10-01,5,0,22,82.7,line_drive,0.9653314278031901,0.6,halfway,7.656781241929584,6.691449814126394,26.9,84.1,Cedric Mullins singles on a line drive to center fielder Kyle Isbel. Ramón Urías to 3rd.
SEA,2024-03-28,1,0,21,82.3,line_drive,0.9449053692455038,0.6,halfway,7.0259864503265845,6.081081081081081,29.6,89.4,Jorge Polanco singles on a line drive to right fielder Tyler O'Neill. Julio Rodríguez to 3rd.
SF,2024-05-18,8,5,18,100.5,line_drive,0.93199272737772,0.6,halfway,7.360564155949149,6.428571428571429,28.0,86.4,LaMonte Wade Jr. singles on a sharp line drive to right fielder Jake Cave. Thairo Estrada to 3rd.
TB,2024-04-16,11,-1,18,87.1,line_drive,0.9037702451455365,0.6,halfway,7.355383148371343,6.451612903225807,27.9,,Isaac Paredes singles on a line drive to center fielder Aaron Hicks. Richie Palacios to 3rd.
BAL,2024-06-19,9,1,13,108.5,line_drive,0.8508429296420195,0.4,hesitated,6.870909819274127,6.0200668896321075,29.9,92.1,Ryan Mountcastle singles on a line drive to center fielder Alex Verdugo. Jorge Mateo to 3rd. Adley Rutschman to 2nd.
MIA,2024-09-26,12,0,14,104.9,line_drive,0.8386197136818874,0.4,hesitated,6.981964423579498,6.143344709897611,29.3,83.1,Jesús Sánchez singles on a sharp line drive to right fielder Trevor Larnach. Connor Norby to 3rd.
SF,2024-08-12,1,0,13,102.7,line_drive,0.8345472913082901,0.4,hesitated,6.83454729130829,6.0,30.0,90.7,Mark Canha singles on a sharp line drive to center fielder Ramón Laureano. Tyler Fitzgerald to 3rd.
MIA,2024-09-12,8,0,12,108.4,line_drive,0.7648363465395063,0.4,hesitated,6.908181056437117,6.143344709897611,29.3,86.2,Jake Burger singles on a sharp line drive to center fielder Jacob Young. Connor Norby to 3rd. Jonah Bride to 2nd.
BOS,2024-06-16,3,1,14,100.5,line_drive,0.7198883185275307,0.4,hesitated,6.842337298119368,6.122448979591837,29.4,84.7,Rob Refsnyder singles on a sharp line drive to left fielder Juan Soto. David Hamilton to 3rd.
KC,2024-08-16,6,1,14,90.5,line_drive,0.7092964491781606,0.4,hesitated,6.610935793440456,5.901639344262295,30.5,85.7,Vinnie Pasquantino singles on a line drive to right fielder Will Benson. Bobby Witt Jr. to 3rd.
