batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
DET,2024-05-11,2,0,25,79.2,fly_ball,0.8516775570207464,1.8313853822058657,halfway,7.349872502869122,6.498194945848375,27.7,88.9,Jake Rogers singles on a line drive to left fielder Mauricio Dubón. Colt Keith to 3rd. Zach McKinstry to 2nd.
MIL,2024-09-28,8,3,34,63.6,fly_ball,0.8357977061074742,1.9459203925643633,halfway,7.6539795242892925,6.818181818181818,26.4,90.8,Jake Bauers singles on a fly ball to center fielder Tyrone Taylor. William Contreras to 3rd. Willy Adames to 2nd.
SEA,2024-08-21,2,0,24,76.1,line_drive,0.8319730043790567,1.2,halfway,7.2376669545569925,6.405693950177936,28.1,94.6,Justin Turner singles on a line drive to center fielder Kevin Kiermaier. Randy Arozarena to 3rd.
NYM,2024-07-10,6,2,17,87.3,line_drive,0.826196697216103,0.6,halfway,7.119902990922396,6.293706293706293,28.6,86.2,Tyrone Taylor singles on a line drive to center fielder Jacob Young.
BOS,2024-04-21,3,0,20,87.3,line_drive,0.8232732701735799,0.6,halfway,7.416679863580173,6.593406593406593,27.3,86.7,Wilyer Abreu singles on a line drive to center fielder Jack Suwinski.   Jarren Duran scores.    Rob Refsnyder to 3rd.
BAL,2024-06-12,3,0,23,75.1,line_drive,0.8182740728392748,1.2,halfway,7.178698101107826,6.360424028268551,28.3,,Jorge Mateo singles on a line drive to right fielder Brian Anderson. Cedric Mullins to 3rd.
MIL,2024-07-24,6,-1,26,63.0,fly_ball,0.8164322511852262,1.5110847177494868,halfway,7.385775316878657,6.569343065693431,27.4,84.1,Jake Bauers singles on a fly ball to center fielder Mike Tauchman. Willy Adames to 3rd. Jackson Chourio to 2nd.
BAL,2024-09-27,8,3,21,69.9,line_drive,0.8064792233389468,1.2,halfway,6.928928202930784,6.122448979591837,29.4,90.3,Cedric Mullins singles on a fly ball to center fielder Byron Buxton. Jackson Holliday to 3rd. Ryan Mountcastle to 2nd.
BAL,2024-04-09,9,5,18,99.3,line_drive,0.8064420707949704,0.6,halfway,7.448508491459177,6.642066420664206,27.1,92.1,Cedric Mullins singles on a line drive to center fielder Ceddanne Rafaela. Adley Rutschman scores. Austin Hays to 3rd. Ryan O'Hearn to 2nd.
ATL,2024-07-04,1,1,24,72.9,line_drive,0.8041974650435071,1.2,halfway,7.421844523867037,6.61764705882353,27.2,86.5,Matt Olson singles on a line drive to center fielder Heliot Ramos. Ozzie Albies to 3rd.
TOR,2024-06-29,5,2,19,99.2,line_drive,0.8019886910402629,0.6,halfway,7.395395284446856,6.593406593406593,27.3,,"Isiah Kiner-Falefa singles on a line drive to center fielder Trent Grisham, deflected by right fielder Oswaldo Cabrera. Bo Bichette to 3rd."
SEA,2024-05-31,1,0,29,71.6,fly_ball,0.800134821540559,1.8992868170723647,halfway,7.51655273198832,6.716417910447761,26.8,87.6,Josh Rojas singles on a fly ball to left fielder Taylor Ward. J.P. Crawford to 3rd.
LAD,2024-07-13,8,4,16,107.6,line_drive,0.7995183782454447,0.6,halfway,7.20521232842338,6.405693950177936,28.1,,Teoscar Hernández singles on a line drive to left fielder Justyn-Henry Malloy. Shohei Ohtani to 3rd.
MIA,2024-04-16,6,0,35,69.5,fly_ball,0.795183607976095,2.181134304699152,halfway,7.881797781204442,7.086614173228347,25.4,89.5,Jesús Sánchez singles on a fly ball to left fielder Michael Conforto.   Josh Bell to 3rd.
COL,2024-04-22,9,-2,19,84.9,line_drive,0.7848492857874261,0.6,halfway,7.4269157064516325,6.642066420664206,27.1,90.8,Ezequiel Tovar singles on a line drive to center fielder Jackson Merrill. Sean Bouchard to 3rd.
BAL,2024-09-28,2,4,18,87.4,line_drive,0.7809430211246822,0.6,halfway,6.9033920007165195,6.122448979591837,29.4,89.7,Adley Rutschman singles on a line drive to left fielder Willi Castro. Austin Slater scores. Jackson Holliday to 3rd.
TOR,2024-07-29,5,2,15,107.3,line_drive,0.7783113257106677,0.6,halfway,7.050088329194988,6.2717770034843205,28.7,93.1,George Springer singles on a sharp line drive to center fielder Colton Cowser. Leo Jiménez scores. Kevin Kiermaier to 3rd. Steward Berroa to 2nd.
SD,2024-09-18,2,0,16,87.6,line_drive,0.7772324425936112,0.6,halfway,7.093021916277822,6.315789473684211,28.5,84.7,Xander Bogaerts singles on a line drive to center fielder Jake Meyers. Jackson Merrill to 3rd.
LAD,2024-07-30,1,0,20,83.4,line_drive,0.7759703926149975,0.6,halfway,7.181664342792933,6.405693950177936,28.1,90.8,Will Smith singles on a line drive to center fielder Jackson Merrill. Shohei Ohtani to 3rd.
ATH,2024-06-01,2,0,21,81.7,line_drive,0.7722125227520227,0.6,halfway,7.043989526236343,6.2717770034843205,28.7,89.2,Aledmys Díaz singles on a line drive to left fielder Jarred Kelenic. Zack Gelof to 3rd.
NYY,2024-06-12,1,0,22,79.8,line_drive,0.771559702567453,1.2,halfway,7.065265996273746,6.293706293706293,28.6,90.0,Aaron Judge singles on a line drive to right fielder Nelson Velázquez. Anthony Volpe to 3rd. Juan Soto to 2nd.
MIA,2024-09-28,6,1,23,79.2,line_drive,0.7541850032830197,1.2,halfway,7.205797906508827,6.451612903225807,27.9,90.0,Griffin Conine singles on a line drive to left fielder Nathan Lukes. Jake Burger to 3rd. Jesús Sánchez to 2nd.
CLE,2024-05-18,3,2,21,78.3,line_drive,0.7520553671804873,1.2,halfway,7.1350340905847425,6.382978723404255,28.2,90.3,Andrés Giménez singles on a line drive to center fielder Byron Buxton. Tyler Freeman to 3rd.
MIA,2024-05-14,10,0,16,98.7,line_drive,0.749170504407938,0.6,halfway,7.294625049862484,6.545454545454546,27.5,85.0,Josh Bell singles on a line drive to center fielder Matt Vierling. Bryan De La Cruz to 3rd.
NYY,2024-06-15,8,-3,34,73.0,fly_ball,0.7479607360539626,2.2335249788867695,halfway,8.094899511564167,7.346938775510204,24.5,88.2,Austin Wells singles on a fly ball to center fielder Jarren Duran. Anthony Rizzo to 3rd. Gleyber Torres to 2nd.
TOR,2024-08-04,2,1,19,88.7,line_drive,0.746617148376485,0.6,halfway,7.175188576947914,6.428571428571429,28.0,88.1,Davis Schneider singles on a line drive to left fielder Aaron Judge. Addison Barger to 3rd.
SD,2024-04-15,5,-2,30,69.9,fly_ball,0.7438012313752287,1.9122888046248525,halfway,7.943801231375229,7.2,25.0,90.2,Xander Bogaerts singles on a fly ball to center fielder Blake Perkins. Luis Campusano to 3rd. Tyler Wade to 2nd.
ATH,2024-09-29,9,-4,23,79.1,line_drive,0.7432029738040882,1.2,halfway,7.312546039497519,6.569343065693431,27.4,92.2,Zack Gelof singles on a line drive to center fielder Victor Robles. Seth Brown to 3rd.
HOU,2024-04-09,1,0,29,72.8,fly_ball,0.7413778471718562,1.9311184397048624,halfway,7.383444267836063,6.642066420664206,27.1,91.5,Kyle Tucker singles on a fly ball to left fielder MJ Melendez. Jose Altuve to 3rd. Yordan Alvarez to 2nd.
HOU,2024-08-02,4,-2,15,94.3,line_drive,0.7340658530453323,0.6,halfway,6.774334309421171,6.040268456375839,29.8,93.5,Jon Singleton singles on a line drive to center fielder Jose Siri. Yainer Diaz scores. Jeremy Peña to 3rd.
COL,2024-07-07,3,-4,19,80.7,line_drive,0.7081888548395261,0.6,halfway,7.277531920532957,6.569343065693431,27.4,84.1,Aaron Schunk singles on a line drive to center fielder Kyle Isbel. Michael Toglia to 3rd.
CIN,2024-07-22,5,3,15,101.1,line_drive,0.7079367525968934,0.6,halfway,6.893503762906171,6.185567010309278,29.1,87.2,Will Benson singles on a sharp line drive to right fielder Adam Duvall. Stuart Fairchild to 3rd.
NYM,2024-06-12,7,2,19,97.3,line_drive,0.7055919052860826,0.6,halfway,7.602143629424013,6.896551724137931,26.1,86.9,Tyrone Taylor singles on a line drive to center fielder Jazz Chisholm Jr. Pete Alonso to 3rd. Starling Marte to 2nd.
NYY,2024-08-04,1,0,21,80.1,line_drive,0.7028650103449561,0.6,halfway,7.469782303578039,6.7669172932330826,26.6,83.7,Austin Wells singles on a line drive to center fielder Daulton Varsho. Gleyber Torres to 3rd. Juan Soto to 2nd.
SEA,2024-09-18,10,-1,20,78.4,line_drive,0.7011283523219403,1.2,halfway,6.782209433403021,6.081081081081081,29.6,92.1,Cal Raleigh singles on a line drive to left fielder Alex Verdugo. Julio Rodríguez to 3rd.
WSH,2024-05-26,7,-3,28,69.8,fly_ball,0.7002735480738123,1.7929617141528593,halfway,7.441846581781678,6.741573033707866,26.7,91.0,Keibert Ruiz singles on a fly ball to center fielder Julio Rodríguez. Ildemaro Vargas to 3rd. Nick Senzel to 2nd.
NYY,2024-06-19,10,-2,20,71.2,line_drive,0.6999573662263243,1.2,halfway,7.466874659459407,6.7669172932330826,26.6,84.2,DJ LeMahieu singles on a line drive to center fielder Cedric Mullins. Gleyber Torres to 3rd.
BAL,2024-04-13,3,1,31,71.2,fly_ball,0.6976466804048522,2.006437481429171,halfway,7.620723603481776,6.923076923076923,26.0,84.7,"Austin Hays singles on a fly ball to second baseman Brice Turang, deflected by right fielder Jackson Chourio. Anthony Santander to 3rd. Jordan Westburg to 2nd."
BOS,2024-08-26,1,0,12,92.8,line_drive,0.6948593348592738,0.4,hesitated,6.7759404159403545,6.081081081081081,29.6,84.6,Triston Casas singles on a line drive to center fielder Joey Loperfido. Jarren Duran to 3rd.
BAL,2024-06-21,3,-2,17,98.9,line_drive,0.6880580456177716,0.6,halfway,6.916431748039917,6.228373702422146,28.9,91.4,Adley Rutschman singles on a line drive to right fielder Trey Cabbage. Gunnar Henderson to 3rd.
TEX,2024-03-28,10,0,16,103.6,line_drive,0.6860388155406794,0.6,halfway,7.40245672598844,6.716417910447761,26.8,87.9,Jonah Heim singles on a sharp line drive to center fielder Cody Bellinger.   Josh Jung scores.    Adolis García to 3rd.    Wyatt Langford to 2nd.
PHI,2024-04-17,2,3,13,96.8,line_drive,0.6705973706397677,0.4,hesitated,6.650663815822492,5.980066445182724,30.1,,Trea Turner singles on a line drive to right fielder Michael Toglia. Johan Rojas to 3rd.
NYM,2024-05-03,5,-6,14,100.7,line_drive,0.6698591864755592,0.4,hesitated,6.898232888897705,6.228373702422146,28.9,90.2,Tomás Nido singles on a sharp line drive to center fielder Jonny DeLuca. Tyrone Taylor to 3rd.
LAA,2024-09-22,7,-2,24,69.8,line_drive,0.6685795404031545,1.2,halfway,6.962285834109448,6.293706293706293,28.6,89.9,Logan O'Hoppe singles on a line drive to right fielder Jason Heyward. Mickey Moniak to 3rd.
ATH,2024-09-11,5,-1,23,80.2,line_drive,0.6649744931151025,0.6,halfway,7.3316411597817694,6.666666666666667,27.0,87.7,JJ Bleday singles on a line drive to right fielder Ben Gamel. Ryan Noda to 3rd. Lawrence Butler to 2nd.
LAD,2024-07-10,4,-2,14,107.3,line_drive,0.6643949133445046,0.4,hesitated,6.958101207050798,6.293706293706293,28.6,83.5,Andy Pages singles on a sharp line drive to left fielder Whit Merrifield. Teoscar Hernández to 3rd.
TB,2024-07-25,7,9,16,100.8,line_drive,0.6606153952728953,0.6,halfway,7.112228298498702,6.451612903225807,27.9,86.8,Brandon Lowe singles on a sharp line drive to right fielder George Springer. Alex Jackson scores. Richie Palacios to 3rd. Isaac Paredes to 2nd.
MIA,2024-08-14,2,3,14,107.3,line_drive,0.6510767673439481,0.4,hesitated,6.989104936358033,6.338028169014085,28.4,91.4,Jake Burger singles on a sharp line drive to center fielder Johan Rojas. Xavier Edwards to 3rd.
ATH,2024-06-11,4,1,23,74.5,line_drive,0.6502245966198554,1.2,halfway,7.2195676623132865,6.569343065693431,27.4,90.8,Max Schuemann singles on a line drive to center fielder Jackson Merrill. Seth Brown to 3rd.
CWS,2024-09-08,9,1,31,73.6,fly_ball,0.6491269444764587,2.074070205522289,halfway,7.467308762658277,6.818181818181818,26.4,94.8,Jacob Amaya singles on a fly ball to right fielder Wilyer Abreu. Nicky Lopez scores. Dominic Fletcher to 3rd. Gavin Sheets to 2nd.
TOR,2024-09-29,7,-3,26,73.9,fly_ball,0.6473608740995971,1.7725263593918585,halfway,7.2894272947638035,6.642066420664206,27.1,88.4,Steward Berroa singles on a fly ball to right fielder Jesús Sánchez. Luis De Los Santos to 3rd.
