feature_set,n_features,n_samples,train_auc,train_acc,cv_auc_mean,cv_auc_std
base_only,10,3069,0.6851800457919933,0.6594982078853047,0.6537730819734502,0.05090509962240058
base_fielder,17,3069,0.7170956775133559,0.6614532420984034,0.6526690179854838,0.05445470634380313
base_fielder_v4,21,3069,0.7172729865784747,0.650374714890844,0.637833176057063,0.04494154167820394
all_runner_features,29,3069,0.7186182227464404,0.6594982078853047,0.6368537592996346,0.03899457372388174
base_fielder_v1,20,3069,0.7159585867696601,0.6637341153470185,0.6352405533391395,0.04813182495145247
base_fielder_combined,22,3069,0.7184833136751543,0.661127403062887,0.6279830580282206,0.04632882518371352
