WP_delta,WP_send,WP_hold,run_value_wp,p_score_if_sent,delta_EV,scoring_window,had_scoring_opportunity,runner_behavior,coach_decision_quality,outs_when_up,event_type,base_state_pre,launch_speed,launch_angle,batted_ball_type,hit_location,hang_time,throw_distance_from_fielding,throw_time,runner_speed,fielder_arm_strength,batting_team,inning_num,inning_topbot,score_diff,des,video_link
0.07494461739822011,0.8090186173982201,0.734074,0.13,1.0,0.34799999999999986,1.0482574407584906,True,on_contact,missed_opportunity,1,single,1B-2B,91.3,-2,ground_ball,9,3.3230320019426993,256.99174313995866,3.8398499447446444,25.3,81.6,ATL,7,Bot,1,Ozzie Albies singles on a ground ball to right fielder Nick Castellanos. Marcell Ozuna to 3rd. Austin Riley to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=baf378c8-10ed-3097-bda5-1bf4b0cd2133
0.05727572736770403,0.891349727367704,0.834074,0.13031350000000003,1.0,0.34799999999999986,0.7702144942519524,True,on_contact,missed_opportunity,1,single,1B-2B,92.7,9,ground_ball,7,4.465088225096348,120.00000000000001,2.201677993293535,26.1,89.1,MIN,7,Top,2,Ty France singles on a line drive to left fielder JJ Bleday. Trevor Larnach to 3rd. Carlos Correa to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=091fe627-9a25-3782-b04d-df03aad98b27
0.05534898955062828,0.5827889895506282,0.5274399999999999,0.11000000000000004,0.9944597607912529,0.3618253902246724,0.6626404737706935,True,on_contact,missed_opportunity,1,single,2B,75.3,3,ground_ball,8,3.0,225.5581074094451,3.1142533769965004,27.9,91.6,LAA,4,Top,0,Jorge Soler singles on a ground ball to center fielder Leody Taveras. Mike Trout to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=a194c3ee-1887-38f7-ac1e-6cf6ea78ea1b
0.046337732664120224,0.5654577326641202,0.51912,0.08000000000000002,1.0,0.369,1.0200376782720095,True,on_contact,missed_opportunity,1,single,2B,97.7,4,ground_ball,7,2.623550769280805,257.85077325940586,3.7122763826754155,28.5,84.4,SD,3,Bot,-1,Xander Bogaerts singles on a ground ball to left fielder Jurickson Profar. Manny Machado to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=b974debf-c4f3-392f-aecb-6a78a53e53b4
0.024499103847658854,0.8887461038476588,0.864247,0.10025650000000008,1.0,0.15500000000000025,0.9431789962957344,True,halfway,missed_opportunity,0,single,1B-2B,111.7,17,line_drive,8,2.143025849341336,313.20158878714756,4.251766050180206,27.9,87.4,MIN,4,Bot,2,Matt Wallner singles on a sharp line drive to center fielder Jarren Duran. Kody Clemens to 3rd. Royce Lewis to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=7657e8d3-e680-3556-8dd6-fedae0af1dc0
0.010742272795055019,0.951222272795055,0.94048,0.3484799999999999,1.0,0.06099999999999994,0.6150911903939775,True,on_contact,correct_hold,0,single,2B,105.4,4,ground_ball,8,2.297217437534264,255.83953621146085,3.5678737528597138,28.8,84.8,SEA,11,Bot,0,Ben Williamson singles on a ground ball to center fielder Trent Grisham. Leody Taveras to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=b8910550-e05c-3e9d-abfb-90ec7b81292b
