WP_delta,WP_send,WP_hold,run_value_wp,p_score_if_sent,delta_EV,scoring_window,had_scoring_opportunity,runner_behavior,coach_decision_quality,outs_when_up,event_type,base_state_pre,launch_speed,launch_angle,batted_ball_type,hit_location,hang_time,throw_distance_from_fielding,throw_time,runner_speed,fielder_arm_strength,batting_team,inning_num,inning_topbot,score_diff,des,video_link
-0.09104866528267475,0.7596713347173252,0.8507199999999999,0.45576000000000005,0.9267277167277168,0.27411239316239344,-0.31795695187130946,False,on_contact,bad_send,1,single,2B-3B,99.7,-7,ground_ball,7,2.3261911382916014,204.13882665523792,3.0974249435449543,26.7,83.6,CIN,9,Bot,-1,Noelvi Marte singles on a ground ball to left fielder Myles Straw. Matt McLain scores. TJ Friedl scores.,https://baseballsavant.mlb.com/sporty-videos?playId=87ca9ba1-f7cb-30d2-b978-214af50d2d6e
-0.0900886429789598,0.3189103570210402,0.408999,0.08000000000000002,0.8036507936507938,0.4976320634920637,-2.1233702350531294,False,halfway,bad_send,2,single,2B,80.1,16,line_drive,9,1.587442092855242,171.95688240097502,2.696595079499036,24.3,88.1,CIN,3,Bot,-2,"TJ Friedl singles on a line drive to right fielder Luke Raley. Jose Trevino out at home on the throw, right fielder Luke Raley to catcher Cal Raleigh.",https://baseballsavant.mlb.com/sporty-videos?playId=4c72f3d8-1379-377f-9a3a-af922c253641
-0.08941213538819512,0.06120786461180486,0.15061999999999998,0.09999999999999998,0.8799780162456218,0.5214885852149935,-1.2322992418402539,False,halfway,bad_send,2,single,1B-2B,71.9,16,line_drive,7,1.89715613897131,182.40685075044934,2.7936215422653596,26.0,88.1,MIL,6,Bot,-4,Jake Bauers singles on a line drive to left fielder Will Benson. Andrew Vaughn scores. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=b1777bbf-0e8e-31df-83e0-0ba9ee8df83a
-0.0868957054932914,0.5038422945067086,0.590738,0.08000000000000002,0.8649780162456219,0.5000535852149937,-2.4022333025779163,False,halfway,bad_send,2,single,1B-2B,78.0,16,line_drive,8,1.6002444482265488,168.65459528717673,2.6570967172806412,23.5,88.6,NYY,1,Top,1,Paul Goldschmidt singles on a line drive to center fielder Michael Harris II. Giancarlo Stanton scores. Jazz Chisholm Jr. to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=38ebd392-b08d-3206-afa1-8834bffa1245
-0.08097068676129676,0.24825931323870326,0.32923,0.0798005,0.9012743125419181,0.6161470154258886,-1.1255281985576007,False,hesitated,bad_send,2,single,2B,99.5,13,line_drive,7,1.781172011884488,227.65597310922735,3.322215452208514,24.9,83.8,CWS,3,Bot,-3,Chase Meidroth singles on a line drive to left fielder Riley Greene. Mike Tauchman scores.,https://baseballsavant.mlb.com/sporty-videos?playId=5fc6b636-4686-33ef-889b-ef3e537d3a8d
-0.08082594380889896,0.4399120561911011,0.520738,0.07999999999999996,0.9811767884767605,0.6661016307332908,-1.998136959207045,False,on_contact,bad_send,2,single,1B-2B,93.5,5,ground_ball,7,1.1678958335370069,141.1366731401074,2.4760336279201542,27.1,83.9,DET,1,Bot,-1,Spencer Torkelson singles on a ground ball to left fielder Brandon Nimmo. Kerry Carpenter scores. Riley Greene to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=e36f15ec-7bd6-3bcc-90fa-e58815ac930e
-0.0804240632252102,0.17800293677478982,0.258427,0.13,0.9942369840067921,0.7290036985842456,-1.6174753197417653,False,on_contact,bad_send,2,single,2B,91.4,3,ground_ball,9,1.5576353661451279,120.0,2.2534607426845357,28.0,85.1,TB,8,Bot,-2,Taylor Walls singles on a line drive to right fielder Mickey Moniak. Christopher Morel scores.,https://baseballsavant.mlb.com/sporty-videos?playId=26cbc43c-78b8-3361-8099-173078eef760
-0.07999862201423613,0.5452973779857638,0.625296,0.23289600000000005,0.9866956128483995,0.043039077345339294,-0.3221779367854207,False,on_contact,bad_send,0,single,2B,105.2,-3,ground_ball,9,2.1808765530921193,210.81905396992204,3.11459256894599,27.2,85.6,AZ,11,Top,0,Josh Naylor singles on a ground ball to right fielder Kyle Tucker. Geraldo Perdomo scores.,https://baseballsavant.mlb.com/sporty-videos?playId=1834ce7b-0c01-3b37-9cdf-aa545bcadfe0
-0.07698324117709232,0.1722467588229077,0.24923,0.07999999999999999,0.9311845689521746,0.65245806670794,-0.7153884448418912,False,on_contact,bad_send,2,single,2B,101.2,2,ground_ball,7,2.1339376800233936,219.4805598092167,3.047225599272646,26.1,92.2,TB,3,Bot,-4,Junior Caminero singles on a ground ball to left fielder Colton Cowser. Yandy Díaz scores.,https://baseballsavant.mlb.com/sporty-videos?playId=9801452f-14f2-33a2-84e2-24ee142bf59a
-0.07392273076612299,0.7796772692338769,0.8535999999999999,0.3484799999999999,0.8547158140462778,0.13661150943733413,-0.4087694808692097,False,halfway,bad_send,1,single,1B-2B,82.2,17,line_drive,7,2.058021514447273,224.10765611809495,3.199875671350185,27.0,87.3,STL,10,Bot,0,Willson Contreras singles on a line drive to left fielder Drew Waters. Lars Nootbaar scores. Brendan Donovan to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=7e7f7447-30c3-3739-a978-71f2e3be8065
